"DateTime","Total Volume","Price"
"2015-08-03 00:00:00",8828402.265593681,1.53745
"2015-08-10 00:00:00",3738848.3666503853,1.3611
"2015-08-17 00:00:00",1732509.5747069903,1.3557142857142856
"2015-08-24 00:00:00",485195.44956929935,1.227142857142857
"2015-08-31 00:00:00",781359.3494889846,1.2785714285714285
"2015-09-07 00:00:00",497773.299485255,1.1558642857142858
"2015-09-14 00:00:00",417972.4663575353,0.8926785714285714
"2015-09-21 00:00:00",235422.65067751147,0.8153
"2015-09-28 00:00:00",272273.19433383265,0.6463142857142857
"2015-10-05 00:00:00",159606.08123695944,0.6226785714285715
"2015-10-12 00:00:00",259027.4195255134,0.5598357142857143
"2015-10-19 00:00:00",251337.87913544747,0.5180071428571429
"2015-10-26 00:00:00",812231.2073979786,0.9467928571428572
"2015-11-02 00:00:00",745635.6402759908,0.9331857142857142
"2015-11-09 00:00:00",546422.4490285403,0.8933571428571428
"2015-11-16 00:00:00",508911.3775219871,0.9258071428571428
"2015-11-23 00:00:00",489179.4149162009,0.8946785714285713
"2015-11-30 00:00:00",186955.85368432934,0.8457642857142857
"2015-12-07 00:00:00",279558.1834401557,0.8525714285714285
"2015-12-14 00:00:00",506162.7158705896,0.9430142857142857
"2015-12-21 00:00:00",137963.3307233795,0.9146000000000001
"2015-12-28 00:00:00",304937.7506070077,0.9144214285714287
"2016-01-04 00:00:00",367237.6316401943,0.9595428571428571
"2016-01-11 00:00:00",703909.266664128,1.1771428571428573
"2016-01-18 00:00:00",1951322.236115113,1.5207142857142857
"2016-01-25 00:00:00",3233032.5035372525,2.4314285714285715
"2016-02-01 00:00:00",1396264.0567562417,2.474285714285714
"2016-02-08 00:00:00",7440110.0074015735,4.478571428571429
"2016-02-15 00:00:00",3981736.4216131503,4.46
"2016-02-22 00:00:00",10524674.607619723,5.914285714285714
"2016-02-29 00:00:00",17973851.95014015,8.805714285714286
"2016-03-07 00:00:00",16615961.433166634,11.251428571428573
"2016-03-14 00:00:00",15971069.637006203,11.401428571428571
"2016-03-21 00:00:00",8356448.815545193,11.208571428571428
"2016-03-28 00:00:00",9233957.74043102,11.514285714285716
"2016-04-04 00:00:00",7836173.174055723,10.105714285714287
"2016-04-11 00:00:00",6773728.865241468,8.383571428571429
